선수명,팀,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,시즌,IP_float,FIP,xFIP,ERA+,K/9,BB/9,K/BB,pWAR
김강현,롯데,4.0,67,2,2,0,4,0.5,72,69,9,21,7,36,37,32,1.25,0,0,0,0,306,1135,0.254,15,1,2,4,0,4,0,2025,72.0,4.89,4.89,101.0,4.5,2.62,1.71,0.08
송재영,롯데,4.0,46,1,0,0,3,1.0,27,19,3,24,0,28,13,12,1.593,0,0,0,0,121,491,0.202,4,0,1,2,0,2,0,2025,27.0,5.14,5.14,101.0,9.33,8.0,1.17,-0.04
정철원,롯데,4.24,75,8,3,0,21,0.727,70,72,4,28,7,55,34,33,1.429,0,0,0,6,312,1169,0.268,13,1,3,5,2,5,0,2025,70.0,3.77,3.77,95.2,7.07,3.6,1.96,0.92
김태현,롯데,4.5,1,0,0,0,0,,2,1,0,4,0,2,2,1,,0,0,0,0,12,51,0.143,0,0,0,1,0,0,0,2025,2.0,,,,,,,
박세웅,롯데,4.93,29,11,13,0,0,0.458,160 2/3,183,15,54,8,156,99,88,1.475,0,0,12,0,722,2694,0.282,46,1,8,4,0,14,1,2025,160.66666666666666,3.53,3.53,81.9,8.74,3.02,2.89,2.52
이민석,롯데,5.26,20,2,5,0,0,0.286,87 1/3,104,10,56,2,61,56,51,1.832,0,0,4,0,417,1596,0.295,13,2,3,4,0,2,0,2025,87.33333333333333,5.18,5.18,76.8,6.29,5.77,1.09,-0.17
최준용,롯데,5.3,49,4,4,1,17,0.5,54 1/3,50,5,16,6,62,35,32,1.215,0,0,0,4,234,910,0.243,9,1,4,2,0,3,0,2025,54.333333333333336,3.23,3.23,76.2,10.27,2.65,3.88,1.03
반즈,롯데,5.32,8,3,4,0,0,0.429,45 2/3,47,4,17,2,38,31,27,1.401,0,0,3,0,204,761,0.258,14,2,2,1,0,2,0,2025,45.666666666666664,3.82,3.82,75.9,7.49,3.35,2.24,0.58
박진,롯데,5.32,51,3,3,1,3,0.5,69 1/3,76,10,22,1,50,42,41,1.413,0,0,0,1,302,1172,0.277,10,3,1,4,0,5,0,2025,69.33333333333333,4.53,4.53,75.9,6.49,2.86,2.27,0.35
정우준,롯데,5.4,3,0,0,0,0,,3 1/3,6,0,0,1,3,2,2,,0,0,0,0,16,58,0.4,3,0,0,0,0,0,0,2025,3.3333333333333335,,,,,,,
