선수명,팀,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,시즌,BABIP,ISO,wOBA,wRC+,OPS+,bWAR
이천웅,LG,1.0,4,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,1.0,1.0,2.0,2023,,,,,,
홍창기,LG,0.332,141,643,524,109,174,35,2,1,216,65,3,6,88,3,22,83,6,0.412,0.444,0.856,2023,0.388,0.08,0.377,139.9,131.8,7.21
안익훈,LG,0.318,11,23,22,1,7,1,0,0,8,2,0,0,0,0,1,2,0,0.364,0.348,0.712,2023,0.35,0.046,0.311,92.4,92.3,0.13
오스틴,LG,0.313,139,583,520,87,163,29,4,23,269,95,0,7,53,2,3,75,11,0.517,0.376,0.893,2023,0.326,0.204,0.375,138.4,136.5,6.43
문보경,LG,0.301,131,542,469,77,141,29,5,10,210,72,9,4,58,2,2,83,5,0.448,0.377,0.825,2023,0.345,0.147,0.353,122.6,120.6,4.95
문성주,LG,0.294,136,534,449,77,132,21,4,2,167,57,6,4,67,0,8,34,10,0.372,0.392,0.764,2023,0.312,0.078,0.338,111.8,107.1,4.18
김현수,LG,0.293,133,556,488,53,143,22,2,6,187,88,1,8,58,4,1,53,10,0.383,0.364,0.747,2023,0.314,0.09,0.323,101.0,101.5,3.63
박해민,LG,0.285,144,558,485,80,138,14,2,6,174,59,24,1,45,0,3,74,7,0.359,0.348,0.707,2023,0.325,0.074,0.311,92.4,91.2,3.06
신민재,LG,0.277,122,331,282,47,78,5,2,0,87,28,17,2,29,0,1,34,5,0.309,0.344,0.653,2023,0.312,0.032,0.291,78.0,78.2,1.24
정주현,LG,0.273,89,101,88,17,24,2,0,1,29,12,2,1,9,0,0,16,1,0.33,0.337,0.667,2023,0.319,0.057,0.294,80.1,81.1,0.4
오지환,LG,0.268,126,502,422,65,113,24,3,8,167,62,4,4,64,0,8,82,4,0.396,0.371,0.767,2023,0.312,0.128,0.336,110.4,106.6,3.84
