선수명,팀,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,시즌,IP_float,FIP,xFIP,ERA+,K/9,BB/9,K/BB,pWAR
송승기,LG,0.0,1,0,0,0,0,,1,1,0,1,0,0,0,0,,0,0,0,0,5,18,0.25,0,0,0,0,0,0,0,2023,1.0,,,,,,,
백승현,LG,1.58,42,2,0,3,11,1.0,40,28,2,18,0,30,7,7,1.15,0,0,0,1,162,648,0.197,4,0,2,0,1,1,0,2023,40.0,3.65,3.65,258.0,6.75,4.05,1.67,0.57
함덕주,LG,1.62,57,4,0,4,16,1.0,55 2/3,32,1,22,2,59,12,10,0.97,0,0,0,0,222,910,0.165,9,1,4,0,1,0,0,2023,55.666666666666664,2.56,2.56,251.6,9.54,3.56,2.68,1.44
김진성,LG,2.18,80,5,1,4,21,0.833,70 1/3,41,8,26,0,69,17,17,0.953,0,0,0,2,270,1105,0.174,5,1,6,3,0,0,0,2023,70.33333333333333,3.78,3.78,187.0,8.83,3.33,2.65,0.91
이상규,LG,2.35,8,0,0,0,0,,7 2/3,7,0,5,0,6,2,2,1.565,0,0,0,0,34,152,0.241,0,0,0,0,0,1,0,2023,7.666666666666667,3.54,3.54,173.5,7.04,5.87,1.2,0.12
플럿코,LG,2.41,21,11,3,0,0,0.786,123 1/3,115,5,31,3,101,37,33,1.184,0,0,15,0,510,1972,0.244,21,3,5,0,1,2,0,2023,123.33333333333333,2.87,2.87,169.1,7.37,2.26,3.26,2.78
송은범,LG,2.45,4,0,0,0,0,,3 2/3,6,0,3,0,2,1,1,,0,0,0,0,17,54,0.429,0,0,0,0,0,0,0,2023,3.6666666666666665,,,,,,,
윤호솔,LG,2.45,4,0,0,0,0,,3 2/3,3,0,3,0,4,1,1,,0,0,0,0,17,91,0.214,1,0,0,0,0,0,0,2023,3.6666666666666665,,,,,,,
최동환,LG,3.19,45,0,0,1,1,,42 1/3,42,1,17,3,20,18,15,1.394,0,0,0,0,189,715,0.255,11,0,4,0,2,0,0,2023,42.333333333333336,3.93,3.93,127.8,4.25,3.61,1.18,0.48
이상영,LG,3.27,6,0,1,0,0,0.0,11,12,0,8,3,4,5,4,1.818,0,0,0,0,54,208,0.293,3,0,2,0,0,0,0,2023,11.0,5.42,5.42,124.7,3.27,6.55,0.5,-0.05
임찬규,LG,3.42,30,14,3,0,1,0.824,144 2/3,142,10,54,5,103,63,55,1.355,0,0,7,0,632,2458,0.252,22,2,7,3,1,1,1,2023,144.66666666666666,3.85,3.85,119.2,6.41,3.36,1.91,1.76
유영찬,LG,3.44,67,6,3,1,12,0.667,68,55,4,40,7,55,27,26,1.397,0,0,0,2,305,1134,0.22,14,1,4,4,2,8,0,2023,68.0,4.37,4.37,118.5,7.28,5.29,1.38,0.45
이우찬,LG,3.52,38,1,3,0,5,0.25,38 1/3,35,1,18,2,30,15,15,1.383,0,0,0,0,157,608,0.261,4,0,1,2,0,2,1,2023,38.333333333333336,3.49,3.49,115.8,7.04,4.23,1.67,0.61
고우석,LG,3.68,44,3,8,15,0,0.273,44,38,2,22,4,59,19,18,1.364,0,0,0,2,190,799,0.235,6,0,2,0,1,5,0,2023,44.0,2.83,2.83,110.8,12.07,4.5,2.68,1.01
진해수,LG,3.68,19,0,0,0,2,,14 2/3,18,2,10,0,12,8,6,1.909,0,0,0,1,72,297,0.295,3,0,0,1,0,3,0,2023,14.666666666666666,5.33,5.33,110.8,7.36,6.14,1.2,-0.05
켈리,LG,3.83,30,10,7,0,0,0.588,178 2/3,183,10,39,6,129,87,76,1.243,0,0,18,0,746,2743,0.266,31,3,6,7,1,6,0,2023,178.66666666666666,3.19,3.19,106.4,6.5,1.96,3.31,3.42
이지강,LG,3.97,22,2,5,0,2,0.286,68,60,4,28,9,38,45,30,1.294,0,0,1,0,299,1196,0.233,9,0,2,2,0,3,0,2023,68.0,4.43,4.43,102.7,5.03,3.71,1.36,0.41
이정용,LG,4.15,37,7,2,3,1,0.778,86 2/3,100,5,19,2,50,45,40,1.373,0,0,5,5,382,1420,0.284,20,1,5,4,0,3,0,2023,86.66666666666667,3.47,3.47,98.2,5.19,1.97,2.63,1.4
김윤식,LG,4.22,17,6,4,0,0,0.6,74 2/3,86,4,25,3,42,35,35,1.487,0,0,2,0,320,1192,0.301,13,2,3,3,0,4,0,2023,74.66666666666667,3.85,3.85,96.6,5.06,3.01,1.68,0.91
최원태,LG,4.3,26,9,7,0,0,0.563,146 2/3,149,12,46,7,118,73,70,1.33,0,0,13,0,632,2352,0.265,17,1,10,7,2,6,0,2023,146.66666666666666,3.69,3.69,94.8,7.24,2.82,2.57,2.03
정우영,LG,4.7,60,5,6,0,11,0.455,51 2/3,63,1,17,15,41,39,27,1.548,0,0,0,2,245,936,0.297,11,0,1,0,1,2,1,2023,51.666666666666664,3.67,3.67,86.7,7.14,2.96,2.41,0.73
이민호,LG,5.03,5,0,2,0,0,0.0,19 2/3,22,1,10,0,7,13,11,1.627,0,0,0,0,91,369,0.289,4,0,3,2,0,0,0,2023,19.666666666666668,4.62,4.62,81.0,3.2,4.58,0.7,0.08
박명근,LG,5.08,57,4,3,5,9,0.571,51 1/3,49,4,28,6,40,31,29,1.5,0,0,0,3,236,952,0.249,9,1,1,4,2,1,0,2023,51.333333333333336,4.59,4.59,80.2,7.01,4.91,1.43,0.22
손주영,LG,5.19,3,1,0,0,0,1.0,8 2/3,12,0,6,0,5,7,5,2.077,0,0,0,0,46,189,0.3,0,0,0,0,0,0,1,2023,8.666666666666666,4.07,4.07,78.5,5.19,6.23,0.83,0.09
강효종,LG,6.23,7,1,2,0,0,0.333,21 2/3,25,1,12,2,14,18,15,1.708,0,0,0,0,103,446,0.298,3,0,3,2,0,0,1,2023,21.666666666666668,4.4,4.4,65.4,5.82,4.98,1.17,0.14
오석주,LG,6.3,9,0,0,0,0,,10,12,2,3,0,11,7,7,1.5,0,0,0,0,44,176,0.293,2,0,0,0,0,2,0,2023,10.0,4.45,4.45,64.7,9.9,2.7,3.67,0.06
성동현,LG,9.0,1,0,0,0,0,,1,2,0,1,0,1,1,1,,0,0,0,0,6,20,0.4,0,0,0,0,0,0,0,2023,1.0,,,,,,,
김대현,LG,10.8,5,0,0,0,0,,3 1/3,8,1,2,1,3,5,4,,0,0,0,0,22,89,0.421,2,0,0,0,0,1,0,2023,3.3333333333333335,,,,,,,
최성훈,LG,15.0,5,0,0,1,0,,3,7,0,1,0,2,5,5,,0,0,0,0,17,66,0.438,2,0,0,0,0,0,0,2023,3.0,,,,,,,
배재준,LG,18.0,1,0,0,0,0,,1,2,0,1,0,0,2,2,,0,0,0,0,6,23,0.4,0,1,0,0,0,1,0,2023,1.0,,,,,,,
강건,KT,1.35,4,0,0,1,0,,6 2/3,4,0,3,0,8,1,1,1.05,0,0,0,0,28,108,0.167,2,0,1,0,0,1,0,2023,6.666666666666667,2.1,2.1,326.8,10.8,4.05,2.67,0.22
쿠에바스,KT,2.6,18,12,0,0,0,1.0,114 1/3,95,4,24,2,100,33,33,1.041,0,0,14,0,460,1666,0.224,10,2,5,5,1,5,0,2023,114.33333333333333,2.54,2.54,169.7,7.87,1.89,4.17,3.22
김재윤,KT,2.6,59,5,5,32,0,0.5,65 2/3,54,2,13,1,60,21,19,1.02,0,0,0,4,262,1005,0.227,5,2,8,2,5,3,0,2023,65.66666666666667,2.36,2.36,169.7,8.22,1.78,4.62,1.99
박영현,KT,2.75,68,3,3,4,32,0.5,75 1/3,63,3,23,2,79,25,23,1.142,0,0,0,6,308,1220,0.23,11,2,7,2,4,1,2,2023,75.33333333333333,2.57,2.57,160.4,9.44,2.75,3.43,2.1
고영표,KT,2.78,28,12,7,0,0,0.632,174 2/3,181,7,19,9,114,57,54,1.145,0,0,21,0,706,2453,0.269,27,5,2,3,1,6,0,2023,174.66666666666666,2.85,2.85,158.7,5.87,0.98,6.0,4.3
손동현,KT,3.42,64,8,5,1,15,0.615,73 2/3,68,5,20,2,40,31,28,1.195,0,0,0,4,301,1100,0.256,11,0,9,4,1,2,0,2023,73.66666666666667,3.84,3.84,129.0,4.89,2.44,2.0,0.98
벤자민,KT,3.54,29,15,6,0,0,0.714,160,149,12,45,3,157,79,63,1.212,0,0,11,0,684,2636,0.24,23,1,9,5,1,11,0,2023,160.0,3.06,3.06,124.6,8.83,2.53,3.49,3.56
엄상백,KT,3.63,20,7,6,0,0,0.538,111 2/3,100,6,29,2,89,46,45,1.155,0,0,9,0,454,1790,0.241,16,4,4,4,0,1,0,2023,111.66666666666667,3.09,3.09,121.6,7.17,2.34,3.07,2.44
김정운,KT,3.86,5,0,0,0,0,,7,6,0,6,2,3,4,3,1.714,0,0,0,0,35,138,0.222,2,0,0,0,0,0,0,2023,7.0,5.72,5.72,114.3,3.86,7.71,0.5,-0.06
박세진,KT,3.86,16,0,1,0,1,0.0,11 2/3,15,1,14,0,10,8,5,2.486,0,0,0,0,66,272,0.288,2,0,0,0,0,2,0,2023,11.666666666666666,6.15,6.15,114.3,7.71,10.8,0.71,-0.15
이상동,KT,3.98,36,4,1,0,1,0.8,40 2/3,45,4,15,0,43,19,18,1.475,0,0,0,0,179,672,0.28,10,0,3,0,2,1,0,2023,40.666666666666664,3.42,3.42,110.9,9.52,3.32,2.87,0.74
하준호,KT,4.15,12,0,1,0,0,0.0,13,14,0,10,5,6,9,6,1.846,0,0,0,0,65,230,0.304,1,0,4,0,2,4,0,2023,13.0,5.69,5.69,106.3,4.15,6.92,0.6,-0.1
이선우,KT,4.34,22,0,2,0,0,0.0,37 1/3,47,5,9,4,24,20,18,1.5,0,0,0,0,169,589,0.305,6,0,0,2,0,0,0,2023,37.333333333333336,4.65,4.65,101.7,5.79,2.17,2.67,0.15
전용주,KT,4.35,15,0,1,0,1,0.0,10 1/3,6,0,6,1,9,5,5,1.161,0,0,0,0,43,173,0.167,4,0,0,0,0,4,0,2023,10.333333333333334,3.44,3.44,101.4,7.84,5.23,1.5,0.18
주권,KT,4.4,42,1,2,0,5,0.333,47,49,4,19,2,17,23,23,1.447,0,0,0,0,205,714,0.278,7,1,5,3,2,0,0,2023,47.0,4.87,4.87,100.3,3.26,3.64,0.89,0.07
배제성,KT,4.49,26,8,10,0,0,0.444,130 1/3,144,6,77,2,79,72,65,1.696,0,0,6,0,596,2331,0.289,20,1,9,9,0,9,1,2023,130.33333333333334,4.35,4.35,98.3,5.46,5.32,1.03,0.97
김영현,KT,5.45,31,0,0,1,1,,33,30,4,20,1,35,22,20,1.515,0,0,0,0,150,563,0.238,7,0,2,1,1,2,0,2023,33.0,4.51,4.51,81.0,9.55,5.45,1.75,0.19
슐서,KT,5.62,9,1,7,0,0,0.125,49 2/3,66,6,14,0,35,32,31,1.611,0,0,3,0,221,815,0.333,9,1,6,3,1,2,0,2023,49.666666666666664,4.16,4.16,78.5,6.34,2.54,2.5,0.48
조현우,KT,6.0,5,0,0,0,0,,3,6,0,2,0,1,2,2,,0,0,0,0,17,63,0.4,1,0,0,0,0,1,0,2023,3.0,,,,,,,
조이현,KT,6.69,18,2,1,0,1,0.667,35,61,3,6,2,17,27,26,1.914,0,0,0,0,170,585,0.389,14,1,1,4,0,1,1,2023,35.0,3.98,3.98,66.0,4.37,1.54,2.83,0.41
김민,KT,6.83,16,1,2,0,0,0.333,29,40,3,16,4,22,26,22,1.931,0,0,0,0,145,520,0.325,6,0,1,1,0,4,0,2023,29.0,5.05,5.05,64.6,6.83,4.97,1.38,-0.02
