선수명,팀,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,시즌,IP_float,FIP,xFIP,ERA+,K/9,BB/9,K/BB,pWAR
이호성,SSG,7.4,16,2,4,0,0,0.333,45.0,66,9,26,2,28,39,37,2.044,0,0,0,0,224,952,0.351,13,1,3,5,0,3,0,2024,45.0,6.34,6.34,56.3,5.6,5.2,1.08,-0.66
양현,SSG,7.62,18,0,1,0,2,0.0,13.0,21,4,5,1,10,11,11,2.0,0,0,0,0,64,242,0.375,2,0,1,1,0,0,0,2024,13.0,6.97,6.97,54.7,6.92,3.46,2.0,-0.28
김대호,SSG,11.25,1,0,1,0,0,0.0,4.0,7,1,2,0,1,6,5,,0,0,0,0,22,87,0.35,2,0,0,0,0,0,0,2024,4.0,,,,,,,
홍정우,SSG,45.0,1,0,0,0,0,,1.0,5,1,1,0,1,5,5,,0,0,0,0,9,28,0.714,1,0,0,1,0,0,0,2024,1.0,,,,,,,
김재열,NC,2.49,69,1,5,2,12,0.167,68 2/3,58,4,29,0,67,20,19,1.267,0,0,0,4,284,1097,0.233,15,1,4,2,3,1,1,2024,68.66666666666667,3.19,3.19,177.8,8.78,3.8,2.31,1.44
하트,NC,2.69,26,13,3,0,0,0.813,157,124,11,38,11,182,51,47,1.032,0,0,17,0,631,2465,0.215,16,1,3,1,0,2,0,2024,157.0,2.65,2.65,164.6,10.43,2.18,4.79,4.27
최우석,NC,3.12,9,0,0,0,0,,8 2/3,7,2,6,0,8,3,3,1.5,0,0,0,0,37,139,0.226,2,0,0,0,0,1,0,2024,8.666666666666666,6.35,6.35,141.9,8.31,6.23,1.33,-0.14
김영규,NC,3.15,42,4,2,1,14,0.667,45 2/3,40,3,14,1,48,19,16,1.182,0,0,0,1,183,734,0.244,4,0,2,2,0,1,0,2024,45.666666666666664,2.86,2.86,140.5,9.46,2.76,3.43,1.13
한재승,NC,3.97,51,1,2,0,6,0.333,45 1/3,37,2,27,3,44,21,20,1.412,0,0,0,3,201,815,0.222,7,1,1,3,0,6,0,2024,45.333333333333336,3.74,3.74,111.5,8.74,5.36,1.63,0.66
신민혁,NC,4.31,25,8,9,0,0,0.471,121,140,20,16,7,74,67,58,1.289,0,0,10,0,524,2003,0.284,24,3,2,6,0,2,1,2024,121.0,4.62,4.62,102.7,5.5,1.19,4.62,0.53
카스타노,NC,4.35,19,8,6,0,0,0.571,111 2/3,117,11,25,7,89,65,54,1.272,0,0,12,0,476,1783,0.269,23,4,4,5,0,0,1,2024,111.66666666666667,3.67,3.67,101.8,7.17,2.01,3.56,1.72
임정호,NC,4.42,65,1,6,2,9,0.143,55,54,3,25,3,46,32,27,1.436,0,0,0,2,243,981,0.263,8,1,7,3,3,0,0,2024,55.0,3.68,3.68,100.2,7.53,4.09,1.84,0.84
김시훈,NC,4.53,39,3,4,0,5,0.429,107 1/3,110,7,59,3,74,60,54,1.575,0,0,3,0,477,1887,0.269,25,1,1,5,0,1,1,2024,107.33333333333333,4.32,4.32,97.7,6.2,4.95,1.25,0.84
이재학,NC,5.52,21,3,12,0,0,0.2,104 1/3,108,17,42,4,97,68,64,1.438,0,0,7,0,462,1814,0.266,27,3,8,2,0,2,0,2024,104.33333333333333,4.7,4.7,80.2,8.37,3.62,2.31,0.36
김민규,NC,5.68,7,0,0,0,0,,6 1/3,8,0,3,0,2,4,4,1.737,0,0,0,0,30,112,0.32,1,0,1,1,0,1,0,2024,6.333333333333333,3.91,3.91,77.9,2.84,4.26,0.67,0.08
요키시,NC,5.72,8,3,4,0,0,0.429,39 1/3,51,5,20,2,32,29,25,1.805,0,0,2,0,189,756,0.313,11,2,3,1,0,2,0,2024,39.333333333333336,4.82,4.82,77.4,7.32,4.58,1.6,0.08
류진욱,NC,5.74,50,2,1,0,10,0.667,42 1/3,52,4,19,2,37,30,27,1.677,0,0,0,1,194,760,0.308,8,0,2,2,0,3,0,2024,42.333333333333336,4.09,4.09,77.1,7.87,4.04,1.95,0.45
최성영,NC,5.79,24,2,0,1,1,1.0,46 2/3,65,7,17,0,29,37,30,1.757,0,0,1,0,218,809,0.33,10,0,0,4,0,0,0,2024,46.666666666666664,4.92,4.92,76.5,5.59,3.28,1.71,0.04
송명기,NC,5.87,33,2,1,0,4,0.667,38 1/3,40,4,17,3,31,27,25,1.487,0,0,0,0,173,694,0.268,7,1,1,3,1,7,0,2024,38.333333333333336,4.42,4.42,75.4,7.28,3.99,1.82,0.26
박주현,NC,6.0,3,0,0,0,0,,3,3,1,1,0,4,2,2,,0,0,0,0,13,51,0.25,0,0,0,0,0,0,0,2024,3.0,,,,,,,
이용찬,NC,6.13,57,3,9,16,2,0.25,54 1/3,82,6,21,2,49,48,37,1.896,0,0,0,4,262,1042,0.353,20,3,5,2,1,6,0,2024,54.333333333333336,4.02,4.02,72.2,8.12,3.48,2.33,0.62
임상현,NC,6.47,12,1,5,0,0,0.167,40 1/3,46,5,23,2,21,35,29,1.711,0,0,1,0,181,667,0.303,13,0,0,4,0,1,0,2024,40.333333333333336,5.55,5.55,68.4,4.69,5.13,0.91,-0.26
이용준,NC,6.68,9,2,3,0,0,0.4,33 2/3,42,5,14,1,26,28,25,1.663,0,0,1,0,157,603,0.302,6,2,2,1,0,1,0,2024,33.666666666666664,4.84,4.84,66.3,6.95,3.74,1.86,0.06
김태현,NC,7.2,11,0,0,0,0,,10,14,3,7,0,3,10,8,2.1,0,0,0,0,50,187,0.35,4,0,2,1,0,1,0,2024,10.0,8.52,8.52,61.5,2.7,6.3,0.43,-0.41
배재환,NC,7.32,20,0,1,0,0,0.0,19 2/3,20,5,15,0,13,17,16,1.78,0,0,0,0,91,388,0.274,2,0,2,1,1,0,0,2024,19.666666666666668,7.39,7.39,60.5,5.95,6.86,0.87,-0.54
이준호,NC,7.48,38,3,5,0,2,0.375,49 1/3,71,7,26,3,42,41,41,1.966,0,0,0,0,243,1019,0.34,11,0,2,3,0,0,0,2024,49.333333333333336,5.03,5.03,59.2,7.66,4.74,1.62,-0.02
김진호,NC,7.71,2,0,0,0,0,,2 1/3,3,0,2,0,3,2,2,,0,0,0,0,12,52,0.333,0,0,1,0,0,0,0,2024,2.3333333333333335,,,,,,,
서의태,NC,9.39,11,1,0,0,0,1.0,7 2/3,5,1,8,0,7,8,8,1.696,0,0,0,0,34,149,0.192,1,0,0,0,0,1,0,2024,7.666666666666667,6.12,6.12,47.1,8.22,9.39,0.88,-0.1
전사민,NC,9.51,17,0,0,0,0,,23 2/3,39,3,17,3,17,25,25,2.366,0,0,0,0,128,479,0.371,6,1,1,2,0,4,2,2024,23.666666666666668,5.87,5.87,46.6,6.46,6.46,1.0,-0.24
손주환,NC,9.82,4,0,1,0,0,0.0,3 2/3,2,0,2,1,4,4,4,,0,0,0,0,16,65,0.154,0,0,0,0,0,0,0,2024,3.6666666666666665,,,,,,,
신영우,NC,10.61,4,0,1,0,0,0.0,9 1/3,9,0,15,2,6,11,11,2.571,0,0,0,0,52,200,0.29,3,0,2,2,0,1,0,2024,9.333333333333334,7.3,7.3,41.7,5.79,14.46,0.4,-0.25
목지훈,NC,12.0,3,0,1,0,0,0.0,9,15,1,10,2,3,12,12,2.778,0,0,0,0,52,215,0.375,6,0,0,0,0,1,0,2024,9.0,7.9,7.9,36.9,3.0,10.0,0.3,-0.3
채원후,NC,12.0,3,0,0,0,0,,3,6,0,3,0,2,4,4,,0,0,0,0,18,73,0.4,2,0,0,0,0,2,0,2024,3.0,,,,,,,
소이현,NC,13.5,4,0,0,0,0,,3 1/3,6,0,1,1,1,7,5,,0,0,0,0,19,64,0.353,3,0,0,0,0,0,0,2024,3.3333333333333335,,,,,,,
전루건,NC,22.24,6,0,0,0,0,,5 2/3,15,0,9,4,0,14,14,4.235,0,0,0,0,44,174,0.556,3,0,2,2,0,0,0,2024,5.666666666666667,10.0,10.0,19.9,0.0,14.29,0.0,-0.33
김택연,두산,2.08,60,3,2,19,4,0.6,65,51,2,31,4,78,17,15,1.262,0,0,0,5,277,1238,0.216,11,0,6,0,1,3,0,2024,65.0,2.74,2.74,194.6,10.8,4.29,2.52,1.55
박신지,두산,2.08,6,0,1,0,0,0.0,8 2/3,8,0,8,1,3,3,2,1.846,0,0,0,0,41,161,0.258,2,0,1,0,0,0,0,2024,8.666666666666666,5.54,5.54,194.6,3.12,8.31,0.38,-0.05
홍건희,두산,2.73,65,4,3,9,11,0.571,59 1/3,55,5,33,5,45,22,18,1.483,0,0,0,6,264,1034,0.253,6,1,6,3,4,5,0,2024,59.333333333333336,4.62,4.62,148.3,6.83,5.01,1.36,0.24
이병헌,두산,2.89,77,6,1,1,22,0.857,65 1/3,61,3,34,3,57,25,21,1.454,0,0,0,1,285,1173,0.256,7,1,4,6,1,2,1,2024,65.33333333333333,3.67,3.67,140.1,7.85,4.68,1.68,0.92
김강률,두산,3.0,53,2,2,1,12,0.5,42,41,1,21,2,33,16,14,1.476,0,0,0,0,187,769,0.255,7,0,2,1,0,1,0,2024,42.0,3.5,3.5,134.9,7.07,4.5,1.57,0.67
브랜든,두산,3.12,14,7,4,0,0,0.636,75,75,3,11,4,75,34,26,1.147,0,0,10,0,315,1274,0.257,11,2,4,4,0,2,0,2024,75.0,2.24,2.24,129.7,9.0,1.32,6.82,2.19
최지강,두산,3.24,55,3,1,1,15,0.75,50,48,6,24,6,45,19,18,1.44,0,0,0,2,222,878,0.253,7,2,1,1,2,3,0,2024,50.0,4.68,4.68,124.9,8.1,4.32,1.88,0.17
최종인,두산,3.72,11,1,0,1,2,1.0,9 2/3,8,2,5,0,8,4,4,1.345,0,0,0,0,42,167,0.222,0,0,0,1,0,0,0,2024,9.666666666666666,5.71,5.71,108.8,7.45,4.66,1.6,-0.07
김도윤,두산,3.86,2,0,0,0,0,,2 1/3,2,0,2,1,1,2,1,,0,0,0,0,12,44,0.222,1,0,0,0,0,0,0,2024,2.3333333333333335,,,,,,,
이영하,두산,3.99,59,5,4,2,5,0.556,65 1/3,62,4,36,2,59,34,29,1.5,0,0,0,1,298,1188,0.243,9,3,3,2,1,7,0,2024,65.33333333333333,3.85,3.85,101.4,8.13,4.96,1.64,0.8
곽빈,두산,4.24,30,15,9,0,0,0.625,167 2/3,142,11,76,6,154,83,79,1.3,0,0,17,0,716,2892,0.229,29,1,6,7,0,11,1,2024,167.66666666666666,3.6,3.6,95.5,8.27,4.08,2.03,2.48
발라조빅,두산,4.26,12,2,6,0,1,0.25,57,54,3,28,2,69,29,27,1.439,0,0,2,0,250,1067,0.248,13,1,1,1,0,2,0,2024,57.0,2.96,2.96,95.0,10.89,4.42,2.46,1.23
김민규,두산,4.32,13,0,1,0,0,0.0,25,23,4,19,4,19,14,12,1.68,0,0,0,0,117,452,0.247,7,2,1,0,0,3,0,2024,25.0,6.44,6.44,93.7,6.84,6.84,1.0,-0.38
알칸타라,두산,4.76,12,2,2,0,0,0.5,64 1/3,58,10,22,2,34,35,34,1.244,0,0,5,0,270,1043,0.238,8,3,2,0,0,0,0,2024,64.33333333333333,5.2,5.2,85.0,4.76,3.08,1.55,-0.14
최준호,두산,5.1,17,3,6,0,0,0.333,72 1/3,69,11,30,4,58,44,41,1.369,0,0,3,0,314,1227,0.246,8,2,0,0,0,6,0,2024,72.33333333333333,4.9,4.9,79.4,7.22,3.73,1.93,0.08
박정수,두산,5.16,29,1,2,0,4,0.333,29 2/3,38,2,12,2,22,18,17,1.685,0,0,0,0,137,519,0.309,4,1,0,0,0,2,0,2024,29.666666666666668,3.93,3.93,78.4,6.67,3.64,1.83,0.34
시라카와,두산,5.65,12,4,5,0,0,0.444,57 1/3,59,6,33,3,46,41,36,1.605,0,0,2,0,264,1053,0.263,6,1,2,2,0,5,0,2024,57.333333333333336,4.76,4.76,71.6,7.22,5.18,1.39,0.15
최승용,두산,6.0,12,2,0,0,1,1.0,27,37,6,7,0,21,19,18,1.63,0,0,1,0,124,457,0.319,5,2,1,0,0,0,0,2024,27.0,5.23,5.23,67.5,7.0,2.33,3.0,-0.07
박치국,두산,6.38,52,2,3,1,3,0.4,48,59,8,18,10,35,34,34,1.604,0,0,0,3,222,803,0.316,6,0,3,4,1,1,1,2024,48.0,5.58,5.58,63.4,6.56,3.38,1.94,-0.29
정철원,두산,6.4,36,2,1,6,1,0.667,32 1/3,39,5,26,5,39,24,23,2.01,0,0,0,1,165,634,0.295,7,2,1,1,0,0,0,2024,32.333333333333336,5.59,5.59,63.2,10.86,7.24,1.5,-0.2
