선수명,팀,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,시즌,IP_float,FIP,xFIP,ERA+,K/9,BB/9,K/BB,pWAR
성동현,LG,0.0,2,0,0,0,0,,2,0,0,3,0,1,0,0,,0,0,0,0,8,36,0.0,0,0,0,0,0,0,0,2024,2.0,,,,,,,
유영찬,LG,2.97,62,7,5,26,1,0.583,63 2/3,61,2,30,3,77,24,21,1.429,0,0,0,6,286,1105,0.246,15,0,2,3,3,5,2,2024,63.666666666666664,2.66,2.66,136.3,10.88,4.24,2.57,1.58
우강훈,LG,3.09,14,1,0,0,0,1.0,11 2/3,11,0,8,6,10,6,4,1.629,0,0,0,0,57,225,0.256,1,0,0,0,0,2,0,2024,11.666666666666666,5.01,5.01,131.0,7.71,6.17,1.25,-0.0
이상영,LG,3.31,8,0,1,0,1,0.0,16 1/3,15,1,8,4,8,6,6,1.408,0,0,0,0,75,302,0.242,0,0,0,1,0,2,0,2024,16.333333333333332,5.14,5.14,122.3,4.41,4.41,1.0,-0.02
김유영,LG,3.78,53,1,2,1,6,0.333,47 2/3,50,2,16,4,42,27,20,1.385,0,0,0,0,212,847,0.269,7,0,3,3,0,3,1,2024,47.666666666666664,3.16,3.16,107.1,7.93,3.02,2.62,0.93
손주영,LG,3.79,28,9,10,0,1,0.474,144 2/3,157,11,54,10,112,71,61,1.459,0,0,11,0,637,2532,0.279,16,0,6,5,0,6,0,2024,144.66666666666666,3.89,3.89,106.8,6.97,3.36,2.07,1.7
임찬규,LG,3.83,25,10,6,0,1,0.625,134,144,12,42,5,136,58,57,1.388,0,0,11,0,577,2225,0.276,29,1,3,5,1,1,0,2024,134.0,3.31,3.31,105.7,9.13,2.82,3.24,2.4
김진성,LG,3.97,71,3,3,1,27,0.5,70 1/3,62,11,23,7,61,34,31,1.209,0,0,0,7,294,1144,0.239,11,1,3,2,3,2,0,2024,70.33333333333333,4.7,4.7,102.0,7.81,2.94,2.65,0.22
에르난데스,LG,4.02,11,3,2,1,1,0.6,47,41,5,16,2,55,21,21,1.213,0,0,2,0,195,792,0.233,6,1,0,1,0,1,0,2024,47.0,3.31,3.31,100.7,10.53,3.06,3.44,0.84
윤호솔,LG,4.15,7,0,0,0,0,,4 1/3,4,0,8,0,5,2,2,,0,0,0,0,24,109,0.25,0,0,0,0,0,0,0,2024,4.333333333333333,,,,,,,
이종준,LG,4.15,27,1,2,0,1,0.333,26,26,4,16,0,28,13,12,1.615,0,0,0,0,119,489,0.255,5,0,1,0,0,1,0,2024,26.0,4.81,4.81,97.5,9.69,5.54,1.75,0.05
엔스,LG,4.19,30,13,6,0,0,0.684,167 2/3,169,16,50,6,157,84,78,1.306,0,0,13,0,714,2906,0.263,29,3,9,6,0,4,0,2024,167.66666666666666,3.49,3.49,96.6,8.43,2.68,3.14,2.68
최원태,LG,4.26,24,9,7,0,0,0.563,126 2/3,126,10,57,5,103,66,60,1.445,0,0,10,0,554,2117,0.263,20,1,4,8,0,5,0,2024,126.66666666666667,3.99,3.99,95.0,7.32,4.05,1.81,1.35
켈리,LG,4.51,19,5,8,0,0,0.385,113 2/3,131,13,25,6,69,65,57,1.372,2,1,11,0,495,1813,0.29,18,1,5,8,0,9,0,2024,113.66666666666667,4.21,4.21,89.7,5.46,1.98,2.76,0.95
이지강,LG,4.53,46,2,3,1,1,0.4,53 2/3,61,5,26,2,39,35,27,1.621,0,0,0,1,250,973,0.28,9,0,1,3,0,5,0,2024,53.666666666666664,4.44,4.44,89.4,6.54,4.36,1.5,0.32
진우영,LG,4.7,6,0,0,0,0,,7 2/3,8,1,4,0,6,4,4,1.565,0,0,0,0,35,142,0.267,3,0,0,1,0,2,0,2024,7.666666666666667,4.82,4.82,86.1,7.04,4.7,1.5,0.01
정우영,LG,4.76,27,2,1,0,3,0.667,22 2/3,31,0,11,6,17,15,12,1.853,0,0,0,2,108,389,0.344,6,0,1,0,0,3,0,2024,22.666666666666668,3.87,3.87,85.0,6.75,4.37,1.55,0.27
김대현,LG,5.4,37,2,0,1,1,1.0,35,33,6,18,2,30,21,21,1.457,0,0,0,2,155,560,0.248,6,1,0,2,0,5,0,2024,35.0,5.35,5.35,75.0,7.71,4.63,1.67,-0.13
함덕주,LG,5.4,15,0,1,0,3,0.0,11 2/3,13,2,7,1,8,7,7,1.714,0,0,0,0,54,205,0.302,0,1,3,0,0,0,0,2024,11.666666666666666,6.03,6.03,75.0,6.17,5.4,1.14,-0.13
박명근,LG,6.39,33,2,2,1,8,0.5,25 1/3,29,6,12,3,13,20,18,1.618,0,0,0,0,120,446,0.287,4,0,2,2,0,0,0,2024,25.333333333333332,6.95,6.95,63.3,4.62,4.26,1.08,-0.52
임준형,LG,6.59,18,0,0,0,0,,13 2/3,16,2,4,3,13,10,10,1.463,0,0,0,0,62,240,0.302,4,0,1,1,0,0,0,2024,13.666666666666666,4.66,4.66,61.4,8.56,2.63,3.25,0.05
김진수,LG,6.75,8,0,1,0,0,0.0,13 1/3,17,3,4,0,6,10,10,1.575,0,0,0,0,58,220,0.315,2,0,0,0,0,0,0,2024,13.333333333333334,6.04,6.04,60.0,4.05,2.7,1.5,-0.15
최동환,LG,6.95,26,0,1,0,2,0.0,22,35,4,9,0,14,18,17,2.0,0,0,0,0,105,392,0.372,6,0,0,2,0,0,0,2024,22.0,5.44,5.44,58.2,5.73,3.68,1.56,-0.1
김영준,LG,8.22,14,1,1,0,0,0.5,15 1/3,21,2,9,0,11,17,14,1.957,0,0,0,1,76,325,0.318,3,0,1,0,1,2,0,2024,15.333333333333334,5.14,5.14,49.2,6.46,5.28,1.22,-0.02
이우찬,LG,8.82,42,3,2,0,6,0.6,33 2/3,42,2,30,1,31,35,33,2.139,0,0,0,0,172,678,0.3,6,1,1,0,0,6,1,2024,33.666666666666664,4.81,4.81,45.9,8.29,8.02,1.03,0.07
백승현,LG,9.11,36,2,1,2,1,0.667,26 2/3,33,3,22,2,14,28,27,2.062,0,0,0,1,135,536,0.314,7,0,3,3,2,1,0,2024,26.666666666666668,6.23,6.23,44.4,4.73,7.42,0.64,-0.35
정지헌,LG,11.68,17,0,0,0,1,,12 1/3,19,2,11,3,11,18,16,2.432,0,0,0,0,69,272,0.352,2,0,0,1,0,3,0,2024,12.333333333333334,6.85,6.85,34.7,8.03,8.03,1.0,-0.24
김윤식,LG,12.0,1,0,0,0,0,,3,7,0,1,0,1,4,4,,0,0,0,0,17,61,0.438,2,0,0,0,0,0,0,2024,3.0,,,,,,,
김주온,LG,15.43,2,0,0,0,0,,4 2/3,8,2,3,0,4,8,8,,0,0,0,0,25,98,0.381,1,0,0,1,0,0,0,2024,4.666666666666667,,,,,,,
이믿음,LG,15.75,1,0,1,0,0,0.0,4,11,0,4,0,2,7,7,,0,0,0,0,27,96,0.478,2,0,0,0,0,0,0,2024,4.0,,,,,,,
강효종,LG,20.25,1,0,0,0,0,,1 1/3,2,1,3,0,2,3,3,,0,0,0,0,9,33,0.333,0,0,0,0,0,0,0,2024,1.3333333333333333,,,,,,,
우규민,KT,2.49,45,4,1,1,4,0.8,43 1/3,47,1,2,2,39,14,12,1.131,0,0,0,1,181,695,0.272,7,2,1,3,0,0,0,2024,43.333333333333336,1.9,1.9,176.0,8.1,0.42,19.5,1.54
소형준,KT,3.24,6,2,0,0,0,1.0,8 1/3,7,1,1,1,3,3,3,0.96,0,0,0,0,30,120,0.25,2,0,0,0,0,0,0,2024,8.333333333333334,4.68,4.68,135.2,3.24,1.08,3.0,0.03
박세진,KT,3.38,6,0,0,0,0,,5 1/3,7,0,4,0,2,4,2,2.062,0,0,0,0,25,107,0.333,1,0,0,0,0,0,0,2024,5.333333333333333,4.62,4.62,129.6,3.38,6.75,0.5,0.02
박영현,KT,3.52,66,10,2,25,0,0.833,76 2/3,63,12,22,0,87,31,30,1.109,0,0,0,5,310,1222,0.22,7,1,1,1,2,1,0,2024,76.66666666666667,3.75,3.75,124.5,10.21,2.58,3.95,1.1
쿠에바스,KT,4.1,31,7,12,0,0,0.368,173 1/3,158,17,59,7,154,86,79,1.252,0,0,19,0,737,2856,0.24,36,3,5,8,4,11,1,2024,173.33333333333334,3.76,3.76,106.9,8.0,3.06,2.61,2.46
김민,KT,4.31,71,8,4,0,21,0.667,77 1/3,84,5,27,2,77,38,37,1.435,0,0,0,4,336,1205,0.277,13,0,4,0,3,5,0,2024,77.33333333333333,3.09,3.09,101.7,8.96,3.14,2.85,1.69
박시영,KT,4.62,26,0,1,1,4,0.0,25 1/3,27,4,7,1,23,13,13,1.342,0,0,0,0,110,417,0.27,8,1,2,0,1,3,0,2024,25.333333333333332,4.3,4.3,94.8,8.17,2.49,3.29,0.2
벤자민,KT,4.63,28,11,8,0,0,0.579,149 2/3,141,28,48,4,156,90,77,1.263,0,0,10,0,639,2507,0.244,25,4,6,4,2,4,0,2024,149.66666666666666,4.51,4.51,94.6,9.38,2.89,3.25,0.84
엄상백,KT,4.88,29,13,10,0,0,0.565,156 2/3,164,26,42,7,159,88,85,1.315,0,0,9,0,675,2716,0.266,26,3,5,5,0,2,0,2024,156.66666666666666,4.19,4.19,89.8,9.13,2.41,3.79,1.45
김영현,KT,4.91,8,0,0,0,0,,7 1/3,9,1,7,1,8,6,4,2.182,0,0,0,0,39,140,0.29,2,0,0,0,0,1,0,2024,7.333333333333333,5.98,5.98,89.2,9.82,8.59,1.14,-0.08
고영표,KT,4.95,18,6,8,0,0,0.429,100,141,6,14,11,79,61,55,1.55,0,0,9,0,456,1591,0.333,27,4,3,5,0,2,1,2024,100.0,3.07,3.07,88.5,7.11,1.26,5.64,2.21
김민수,KT,5.2,75,5,3,0,12,0.625,81 1/3,84,8,33,1,75,56,47,1.439,0,0,0,2,358,1350,0.264,13,5,3,3,2,3,0,2024,81.33333333333333,3.81,3.81,84.3,8.3,3.65,2.27,1.11
손동현,KT,5.32,42,1,2,1,4,0.333,47 1/3,50,5,20,1,27,31,28,1.479,0,0,0,4,214,767,0.267,6,1,3,3,2,3,0,2024,47.333333333333336,4.68,4.68,82.4,5.13,3.8,1.35,0.17
이상동,KT,5.34,29,0,1,0,3,0.0,32,42,3,14,3,30,20,19,1.75,0,0,0,0,152,568,0.328,9,0,1,6,1,4,1,2024,32.0,4.06,4.06,82.0,8.44,3.94,2.14,0.34
이선우,KT,5.4,6,0,0,0,0,,10,10,0,4,2,4,6,6,1.4,0,0,0,0,45,183,0.263,0,0,0,1,0,0,0,2024,10.0,4.12,4.12,81.1,3.6,3.6,1.0,0.1
육청명,KT,5.44,13,1,5,0,0,0.167,44 2/3,52,6,20,6,20,31,27,1.612,0,0,0,0,208,766,0.297,13,1,2,5,2,3,0,2024,44.666666666666664,5.72,5.72,80.5,4.03,4.03,1.0,-0.37
조이현,KT,6.3,16,1,2,0,0,0.333,40,53,9,10,1,19,29,28,1.575,0,0,0,0,184,636,0.314,11,1,2,2,1,1,0,2024,40.0,5.92,5.92,69.5,4.27,2.25,1.9,-0.42
주권,KT,6.67,48,1,1,0,0,0.5,58,78,7,11,3,31,48,43,1.534,0,0,0,2,254,919,0.342,14,2,6,6,0,0,0,2024,58.0,4.34,4.34,65.7,4.81,1.71,2.82,0.44
원상현,KT,7.03,22,2,5,0,1,0.286,65 1/3,105,6,31,2,59,54,51,2.082,0,0,1,0,324,1248,0.37,18,2,1,6,0,7,1,2024,65.33333333333333,4.02,4.02,62.3,8.13,4.27,1.9,0.73
성재헌,KT,7.31,30,0,0,0,1,,32,46,1,16,5,20,29,26,1.938,0,0,0,0,159,564,0.351,13,2,3,4,2,2,1,2024,32.0,4.24,4.24,59.9,5.62,4.5,1.25,0.28
하준호,KT,9.0,2,0,0,0,0,,2,5,0,1,0,0,2,2,,0,0,0,0,11,40,0.5,0,0,0,0,0,0,0,2024,2.0,,,,,,,
이채호,KT,9.45,9,0,0,0,0,,6 2/3,13,2,3,1,5,7,7,2.4,0,0,0,0,37,151,0.406,0,1,0,1,0,1,0,2024,6.666666666666667,7.32,7.32,46.4,6.75,4.05,1.67,-0.18
한차현,KT,9.95,10,0,4,0,0,0.0,19,29,4,18,0,17,22,21,2.474,0,0,0,0,103,429,0.345,4,1,0,1,0,2,0,2024,19.0,6.91,6.91,44.0,8.05,8.53,0.94,-0.42
전용주,KT,10.8,4,0,0,0,0,,1 2/3,2,0,3,1,4,3,2,,0,0,0,0,11,50,0.286,0,0,0,0,0,0,0,2024,1.6666666666666665,,,,,,,
강건,KT,11.25,4,0,1,0,0,0.0,4,8,1,4,1,3,5,5,,0,0,0,0,24,99,0.421,0,1,0,0,0,0,0,2024,4.0,,,,,,,
문용익,KT,12.18,12,0,0,0,0,,17,23,2,22,2,17,27,23,2.647,0,0,0,0,99,377,0.315,4,0,1,1,0,2,0,2024,17.0,6.88,6.88,36.0,9.0,11.65,0.77,-0.37
코너,SSG,3.43,28,11,6,0,0,0.647,160.0,135,21,40,19,158,67,61,1.094,1,1,13,0,663,2604,0.226,17,3,2,4,0,9,0,2024,160.0,3.96,3.96,121.5,8.89,2.25,3.95,1.81
레예스,SSG,3.81,26,11,4,0,0,0.733,144.0,159,15,30,7,114,65,61,1.312,0,0,12,0,617,2429,0.278,21,3,5,3,0,4,0,2024,144.0,3.66,3.66,109.4,7.12,1.88,3.8,2.1
이상민,SSG,3.9,37,2,1,1,8,0.667,30.0,31,2,6,4,12,13,13,1.233,0,0,0,0,121,416,0.282,5,0,1,0,0,2,0,2024,30.0,4.19,4.19,106.8,3.6,1.8,2.0,0.26
황동재,SSG,4.07,15,1,2,0,0,0.333,42.0,38,2,18,4,30,20,19,1.333,0,0,0,1,180,707,0.248,9,1,2,3,0,5,0,2024,42.0,3.88,3.88,102.4,6.43,3.86,1.67,0.51
김재윤,SSG,4.09,65,4,8,11,25,0.333,66.0,58,13,25,1,51,37,30,1.258,0,0,0,5,284,1092,0.232,9,1,5,3,5,2,0,2024,66.0,5.32,5.32,101.9,6.95,3.41,2.04,-0.23
오승환,SSG,4.91,58,3,9,27,2,0.25,55.0,75,9,18,3,42,36,30,1.691,0,0,0,8,262,1002,0.321,17,2,4,3,3,5,0,2024,55.0,4.87,4.87,84.9,6.87,2.95,2.33,0.08
육선엽,SSG,5.29,11,0,0,0,0,,17.0,19,3,17,2,11,11,10,2.118,0,0,0,0,87,355,0.284,2,0,0,1,0,1,0,2024,17.0,7.47,7.47,78.8,5.82,9.0,0.65,-0.46
최하늘,SSG,5.34,27,1,1,0,1,0.5,32.0,26,2,16,4,18,20,19,1.312,0,0,0,1,139,579,0.234,4,0,3,5,0,2,0,2024,32.0,4.68,4.68,78.0,5.06,4.5,1.12,0.11
최지명,SSG,6.3,14,0,0,0,1,,20.0,24,4,12,0,14,15,14,1.8,0,0,0,0,96,359,0.3,5,1,2,2,0,1,0,2024,20.0,6.12,6.12,66.1,6.3,5.4,1.17,-0.24
최성훈,SSG,6.92,28,0,1,0,3,0.0,13.0,14,1,9,1,10,10,10,1.769,0,0,0,1,61,270,0.292,1,0,0,3,1,2,0,2024,13.0,4.89,4.89,60.2,6.92,6.23,1.11,0.02
