선수명,팀,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,시즌,BABIP,ISO,wOBA,wRC+,OPS+,bWAR
안현민,KT,0.334,112,482,395,72,132,19,4,22,225,80,0,3,75,5,9,72,4,0.57,0.448,1.018,2025,0.362,0.236,0.432,187.7,180.2,7.76
김민혁,KT,0.287,106,417,380,52,109,12,2,0,125,35,4,1,25,1,7,41,12,0.329,0.341,0.67,2025,0.321,0.042,0.299,87.2,86.2,1.92
허경민,KT,0.283,114,481,420,47,119,18,0,4,149,44,3,4,39,1,15,35,14,0.355,0.362,0.717,2025,0.299,0.072,0.321,103.8,99.3,3.13
황재균,KT,0.275,112,424,385,50,106,19,0,7,146,48,1,2,34,1,2,84,2,0.379,0.336,0.715,2025,0.334,0.104,0.314,98.6,97.2,2.5
강백호,KT,0.265,95,369,321,41,85,18,1,15,150,61,0,1,44,3,3,64,9,0.467,0.358,0.825,2025,0.288,0.202,0.355,129.5,126.2,3.48
박민석,KT,0.263,19,21,19,5,5,1,1,0,8,1,0,0,2,0,0,4,0,0.421,0.333,0.754,2025,0.333,0.158,0.326,107.6,106.8,0.15
스티븐슨,KT,0.262,39,168,149,26,39,12,0,3,60,14,1,0,14,0,4,43,2,0.403,0.341,0.744,2025,0.35,0.141,0.328,109.1,104.8,1.19
이정훈,KT,0.258,59,148,132,20,34,4,0,4,50,14,0,0,13,0,3,48,4,0.379,0.338,0.717,2025,0.375,0.121,0.318,101.6,97.8,0.92
오윤석,KT,0.256,77,184,156,30,40,8,1,0,50,19,8,1,12,0,7,41,4,0.321,0.335,0.656,2025,0.345,0.065,0.296,85.0,82.3,0.8
김상수,KT,0.254,113,423,355,42,90,14,0,5,119,47,5,7,52,1,4,57,8,0.335,0.349,0.684,2025,0.283,0.081,0.307,93.3,90.2,2.24
장성우,KT,0.247,129,480,413,44,102,13,0,14,157,58,2,8,55,1,2,96,13,0.38,0.333,0.713,2025,0.283,0.133,0.313,97.8,96.5,2.79
로하스,KT,0.239,95,384,331,48,79,20,0,14,141,43,0,4,48,3,1,71,9,0.426,0.333,0.759,2025,0.26,0.187,0.327,108.4,108.1,2.7
안치영,KT,0.227,47,56,44,9,10,1,0,1,14,6,4,1,4,0,3,13,1,0.318,0.327,0.645,2025,0.29,0.091,0.293,82.7,79.0,0.23
권동진,KT,0.225,123,309,271,34,61,12,3,1,82,25,6,1,30,0,1,91,8,0.303,0.304,0.607,2025,0.333,0.078,0.273,67.6,68.1,0.73
문상철,KT,0.214,79,209,173,22,37,6,1,5,60,20,3,3,25,0,5,44,3,0.347,0.325,0.672,2025,0.252,0.133,0.301,88.7,85.7,1.0
장진혁,KT,0.209,86,157,139,19,29,3,1,4,46,19,4,1,13,0,0,46,1,0.331,0.275,0.606,2025,0.278,0.122,0.267,63.1,66.0,0.29
장준원,KT,0.207,73,154,140,10,29,3,0,1,35,11,5,1,8,0,0,27,5,0.25,0.248,0.498,2025,0.248,0.043,0.223,29.8,37.2,-0.3
배정대,KT,0.204,99,276,240,25,49,11,2,2,70,28,7,3,19,0,7,65,4,0.292,0.279,0.571,2025,0.267,0.088,0.257,55.5,57.5,0.27
김병준,KT,0.2,9,5,5,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0.2,0.2,0.4,2025,0.333,0.0,0.176,-5.6,9.7,-0.03
강현우,KT,0.188,40,78,64,5,12,1,0,1,16,8,3,1,10,0,0,14,1,0.25,0.293,0.543,2025,0.22,0.062,0.253,52.5,51.3,0.05
조대현,KT,0.187,64,90,75,7,14,4,0,0,18,11,6,0,7,0,2,22,0,0.24,0.274,0.514,2025,0.264,0.053,0.239,41.9,42.9,-0.05
유준규,KT,0.118,35,41,34,13,4,2,0,0,6,3,0,0,7,0,0,13,0,0.176,0.268,0.444,2025,0.19,0.058,0.222,29.1,24.9,-0.08
최성민,KT,0.105,32,21,19,3,2,0,0,0,2,2,1,0,1,0,0,5,0,0.105,0.15,0.255,2025,0.143,0.0,0.123,-45.7,-29.8,-0.22
윤준혁,KT,0.059,28,18,17,4,1,1,0,0,2,0,1,0,0,0,0,5,0,0.118,0.059,0.177,2025,0.083,0.059,0.073,-83.4,-55.0,-0.27
강민성,KT,0.033,25,36,30,0,1,0,0,0,1,1,0,1,5,0,0,15,1,0.033,0.167,0.2,2025,0.062,0.0,0.12,-47.9,-42.6,-0.39
김건형,KT,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2025,0.0,0.0,0.0,-138.5,-103.1,-0.02
김태근,SSG,0.333,11,14,12,2,4,0,0,0,4,0,0,0,2,0,0,4,0,0.333,0.429,0.762,2025,0.5,0.0,0.35,119.6,109.0,0.12
김성윤,SSG,0.331,127,538,456,92,151,29,9,6,216,61,10,2,65,0,5,54,11,0.474,0.419,0.893,2025,0.364,0.143,0.389,147.6,139.8,6.51
구자욱,SSG,0.319,142,616,529,106,169,43,2,19,273,96,1,8,73,7,5,91,9,0.516,0.402,0.918,2025,0.351,0.197,0.39,148.3,144.8,7.51
디아즈,SSG,0.314,144,628,551,93,173,32,0,50,355,158,0,11,60,10,6,100,15,0.644,0.381,1.025,2025,0.299,0.33,0.421,170.6,169.1,9.34
박승규,SSG,0.287,64,200,174,39,50,5,0,6,73,14,1,0,21,0,4,43,2,0.42,0.377,0.797,2025,0.352,0.133,0.352,121.0,114.4,1.78
김도환,SSG,0.286,6,14,14,3,4,1,0,0,5,1,0,0,0,0,0,4,0,0.357,0.286,0.643,2025,0.4,0.071,0.278,67.9,72.3,0.04
김지찬,SSG,0.281,90,373,317,59,89,9,2,0,102,23,10,3,38,0,5,44,7,0.322,0.364,0.686,2025,0.322,0.041,0.311,91.6,87.1,2.0
류지혁,SSG,0.28,129,464,400,54,112,14,0,1,129,37,14,4,33,0,13,73,11,0.323,0.351,0.674,2025,0.336,0.043,0.304,86.5,83.5,2.21
전병우,SSG,0.273,59,97,77,11,21,2,0,1,26,13,0,0,19,0,1,27,3,0.338,0.423,0.761,2025,0.408,0.065,0.353,121.7,108.5,0.87
강민호,SSG,0.269,127,465,412,37,111,23,1,12,172,71,1,7,38,4,7,69,16,0.417,0.336,0.753,2025,0.293,0.148,0.324,100.9,101.5,3.02
양도근,SSG,0.259,116,198,166,23,43,5,0,0,48,16,11,1,18,0,2,41,3,0.289,0.337,0.626,2025,0.341,0.03,0.286,73.6,71.2,0.63
이재현,SSG,0.254,139,555,457,82,116,29,1,16,195,67,10,8,69,1,11,119,8,0.427,0.36,0.787,2025,0.303,0.173,0.343,114.6,111.0,4.52
김영웅,SSG,0.249,125,499,446,66,111,22,2,22,203,72,0,3,48,3,2,143,6,0.455,0.323,0.778,2025,0.313,0.206,0.333,107.4,106.7,3.63
김태훈,SSG,0.237,51,98,93,4,22,1,0,2,29,8,2,0,3,0,0,24,0,0.312,0.26,0.572,2025,0.299,0.075,0.251,48.5,53.8,0.02
안주형,SSG,0.235,8,18,17,3,4,0,0,1,7,2,0,0,1,0,0,5,1,0.412,0.278,0.69,2025,0.273,0.177,0.298,82.2,83.1,0.08
김헌곤,SSG,0.225,77,191,173,21,39,6,0,2,51,11,2,1,11,0,4,29,4,0.295,0.286,0.581,2025,0.259,0.07,0.261,55.7,57.5,0.2
함수호,SSG,0.214,6,14,14,1,3,0,0,0,3,1,0,0,0,0,0,6,0,0.214,0.214,0.428,2025,0.375,0.0,0.189,4.0,16.7,-0.07
이병헌,SSG,0.2,55,59,55,5,11,3,0,1,17,7,0,0,3,0,1,13,1,0.309,0.254,0.563,2025,0.244,0.109,0.25,47.8,51.3,0.01
이창용,SSG,0.2,11,17,15,2,3,1,0,1,7,2,0,0,2,0,0,8,0,0.467,0.294,0.761,2025,0.333,0.267,0.326,102.3,101.0,0.11
이해승,SSG,0.2,8,5,5,2,1,0,0,0,1,1,0,0,0,0,0,2,0,0.2,0.2,0.4,2025,0.333,0.0,0.176,-5.4,9.2,-0.03
박병호,SSG,0.199,77,232,196,26,39,5,0,15,89,33,0,2,27,0,7,70,5,0.454,0.315,0.769,2025,0.212,0.255,0.332,106.7,104.1,1.67
이성규,SSG,0.198,68,154,126,17,25,5,1,6,50,21,1,2,15,0,10,52,3,0.397,0.327,0.724,2025,0.271,0.199,0.32,98.0,94.0,0.95
양우현,SSG,0.188,14,16,16,3,3,1,0,0,4,4,0,0,0,0,0,2,0,0.25,0.188,0.438,2025,0.214,0.062,0.188,3.3,17.6,-0.08
심재훈,SSG,0.184,31,43,38,8,7,0,0,0,7,2,1,0,4,0,0,13,0,0.184,0.262,0.446,2025,0.28,0.0,0.212,20.5,23.8,-0.14
윤정빈,SSG,0.175,25,46,40,3,7,1,0,0,8,3,0,2,4,0,0,18,1,0.2,0.239,0.439,2025,0.292,0.025,0.202,13.3,20.8,-0.19
김재성,SSG,0.127,43,73,63,3,8,2,0,0,10,4,1,1,6,0,2,23,0,0.159,0.222,0.381,2025,0.195,0.032,0.185,1.1,5.9,-0.4
홍현빈,SSG,0.125,32,38,32,8,4,2,0,0,6,0,2,0,3,0,1,8,0,0.188,0.222,0.41,2025,0.167,0.063,0.196,9.0,12.9,-0.17
김재혁,SSG,0.0,8,4,3,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.25,0.25,2025,0.0,0.0,0.172,-8.2,-23.8,-0.03
박진우,SSG,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2025,0.0,0.0,0.0,-131.8,-98.0,-0.02
차승준,SSG,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2025,0.0,0.0,0.0,-131.8,-98.0,-0.02
김정호,NC,0.444,8,11,9,3,4,0,0,0,4,0,1,0,0,0,1,4,0,0.444,0.5,0.944,2025,0.8,0.0,0.424,183.5,166.5,0.17
김한별,NC,0.313,76,72,64,14,20,2,0,0,22,5,2,0,3,0,3,5,2,0.344,0.371,0.715,2025,0.339,0.031,0.322,105.7,100.3,0.48
박민우,NC,0.302,117,468,404,64,122,25,8,3,172,67,4,4,44,5,12,64,5,0.426,0.384,0.81,2025,0.349,0.124,0.351,127.8,125.3,4.28
데이비슨,NC,0.293,112,439,386,63,113,18,0,36,239,97,0,14,31,1,8,118,10,0.619,0.346,0.965,2025,0.313,0.326,0.397,162.9,162.3,5.76
김주원,NC,0.289,144,624,539,98,156,26,8,15,243,65,4,2,63,1,16,111,8,0.451,0.379,0.83,2025,0.34,0.162,0.362,136.2,130.1,6.31
박건우,NC,0.289,124,442,384,43,111,24,1,9,164,67,1,5,47,2,5,63,6,0.427,0.37,0.797,2025,0.322,0.138,0.347,124.8,121.1,3.9
최정원,NC,0.275,91,155,120,40,33,3,0,0,36,11,4,1,18,0,12,22,0,0.3,0.417,0.717,2025,0.333,0.025,0.339,118.7,103.7,1.26
서호철,NC,0.266,103,292,263,25,70,7,1,3,88,30,10,4,8,0,7,51,7,0.335,0.301,0.636,2025,0.315,0.069,0.28,73.6,76.0,0.88
박영빈,NC,0.25,16,5,4,8,1,0,0,0,1,1,0,0,1,0,0,2,0,0.25,0.4,0.65,2025,0.5,0.0,0.314,99.6,85.6,0.03
오태양,NC,0.25,14,13,12,6,3,0,0,0,3,1,0,0,1,0,0,3,0,0.25,0.308,0.558,2025,0.333,0.0,0.256,55.3,56.6,0.01
이우성,NC,0.25,105,337,300,28,75,22,1,3,108,33,1,3,31,0,2,66,8,0.36,0.321,0.681,2025,0.308,0.11,0.301,89.7,88.6,1.63
김휘집,NC,0.249,142,500,429,64,107,18,2,17,180,56,2,2,40,0,27,89,9,0.42,0.349,0.769,2025,0.277,0.171,0.339,118.7,112.7,4.06
권희동,NC,0.246,136,456,358,56,88,24,0,6,130,39,8,2,77,0,11,80,10,0.363,0.393,0.756,2025,0.299,0.117,0.344,122.5,112.1,3.9
최원준,NC,0.242,126,449,413,62,100,13,3,6,137,44,2,5,23,0,6,71,5,0.332,0.289,0.621,2025,0.276,0.09,0.273,68.3,71.4,1.08
천재환,NC,0.238,129,294,261,47,62,10,3,6,96,31,6,5,17,0,5,58,3,0.368,0.292,0.66,2025,0.277,0.13,0.287,79.0,81.5,1.07
오영수,NC,0.232,67,179,155,14,36,5,0,3,50,23,0,0,22,0,2,47,0,0.323,0.335,0.658,2025,0.314,0.091,0.299,88.1,83.6,0.83
김형준,NC,0.232,127,415,362,51,84,10,1,18,150,55,3,2,45,0,3,126,7,0.414,0.32,0.734,2025,0.3,0.182,0.321,104.9,102.0,2.72
박시원,NC,0.204,52,60,54,12,11,2,0,1,16,4,1,0,5,0,0,18,1,0.296,0.271,0.567,2025,0.286,0.092,0.254,53.8,56.6,0.05
고승완,NC,0.2,17,11,10,5,2,0,0,0,2,0,0,0,1,0,0,5,0,0.2,0.273,0.473,2025,0.4,0.0,0.223,30.2,32.8,-0.02
송승환,NC,0.2,13,15,15,0,3,1,0,0,4,2,0,0,0,0,0,6,0,0.267,0.2,0.467,2025,0.333,0.067,0.2,12.6,26.8,-0.06
한석현,NC,0.195,61,138,113,18,22,5,0,3,36,21,4,2,12,0,7,27,1,0.319,0.306,0.625,2025,0.224,0.124,0.283,75.9,73.5,0.45
한재환,NC,0.185,16,31,27,2,5,0,0,0,5,4,0,0,2,0,2,14,0,0.185,0.29,0.475,2025,0.385,0.0,0.233,37.8,34.4,-0.03
도태훈,NC,0.182,61,98,77,9,14,4,1,1,23,8,6,0,7,0,8,16,2,0.299,0.315,0.614,2025,0.217,0.117,0.285,77.5,71.2,0.34
홍종표,NC,0.164,62,85,73,16,12,0,0,0,12,3,4,1,7,0,0,23,1,0.164,0.235,0.399,2025,0.235,0.0,0.19,5.0,11.7,-0.4
박세혁,NC,0.163,48,93,86,8,14,3,0,2,23,10,0,1,5,0,1,28,4,0.267,0.215,0.482,2025,0.211,0.104,0.214,23.3,31.5,-0.25
안중열,NC,0.143,33,60,49,2,7,3,0,0,10,6,1,0,8,0,2,15,0,0.204,0.288,0.492,2025,0.206,0.061,0.241,43.9,38.6,-0.02
박한결,NC,0.118,8,19,17,2,2,0,0,2,8,3,0,0,2,0,0,8,0,0.471,0.211,0.682,2025,0.0,0.353,0.286,78.2,82.1,0.07
김범준,NC,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2025,,0.0,0.0,-140.0,-104.2,-0.02
안인산,NC,0.0,4,7,6,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0.0,0.0,0.0,2025,0.0,0.0,0.0,-140.0,-104.2,-0.15
박지훈,두산,0.417,37,55,48,11,20,4,0,1,27,8,1,0,5,0,1,12,1,0.563,0.481,1.044,2025,0.543,0.146,0.452,187.3,174.4,0.96
홍성호,두산,0.346,9,27,26,3,9,1,0,2,16,3,0,0,1,1,0,8,0,0.615,0.37,0.985,2025,0.438,0.269,0.407,155.9,154.4,0.36
양의지,두산,0.337,130,517,454,56,153,27,1,20,242,89,0,6,50,6,7,63,10,0.533,0.406,0.939,2025,0.353,0.196,0.399,150.3,145.7,6.62
안재석,두산,0.319,35,147,135,25,43,16,1,4,73,20,1,0,11,1,0,27,3,0.541,0.37,0.911,2025,0.375,0.222,0.386,141.3,137.2,1.72
케이브,두산,0.299,136,593,538,72,161,28,6,16,249,87,0,8,43,1,4,116,7,0.463,0.351,0.814,2025,0.35,0.164,0.349,115.5,113.6,5.03
박준순,두산,0.284,91,298,282,34,80,11,2,4,107,19,2,3,10,1,1,56,6,0.379,0.307,0.686,2025,0.338,0.095,0.296,78.5,81.4,1.16
임종성,두산,0.277,33,89,83,7,23,4,0,2,33,11,1,1,3,0,1,26,1,0.398,0.307,0.705,2025,0.375,0.121,0.305,84.8,85.8,0.42
박계범,두산,0.263,94,198,175,23,46,9,2,1,62,27,7,1,14,0,1,45,4,0.354,0.319,0.673,2025,0.346,0.091,0.297,79.2,79.1,0.79
오명진,두산,0.263,107,371,331,38,87,14,4,4,121,41,7,3,27,1,3,94,3,0.366,0.321,0.687,2025,0.352,0.103,0.301,82.0,82.4,1.61
정수빈,두산,0.258,132,546,462,89,119,16,4,6,161,38,8,4,61,2,11,57,7,0.348,0.355,0.703,2025,0.28,0.09,0.315,91.8,88.1,3.03
양석환,두산,0.248,72,294,262,32,65,16,0,8,105,31,0,3,24,1,5,82,6,0.401,0.32,0.721,2025,0.326,0.153,0.313,90.4,90.3,1.58
김기연,두산,0.247,100,245,219,19,54,9,0,2,69,24,4,2,19,0,1,44,8,0.315,0.307,0.622,2025,0.297,0.068,0.278,65.9,66.5,0.57
조수행,두산,0.244,108,140,119,30,29,4,0,0,33,9,7,0,14,0,0,29,1,0.277,0.323,0.6,2025,0.322,0.033,0.276,64.5,62.3,0.3
이유찬,두산,0.242,89,311,269,36,65,8,1,1,78,16,6,1,33,0,2,66,4,0.29,0.328,0.618,2025,0.315,0.048,0.283,69.4,66.8,0.86
김재환,두산,0.241,103,407,344,42,83,13,2,13,139,50,0,2,57,3,4,96,4,0.404,0.354,0.758,2025,0.295,0.163,0.332,103.6,100.8,2.85
김동준,두산,0.237,36,100,93,8,22,3,0,2,31,10,1,0,5,0,1,30,2,0.333,0.283,0.616,2025,0.328,0.096,0.272,61.8,63.8,0.18
강승호,두산,0.236,115,400,360,51,85,19,3,8,134,37,2,3,24,2,11,113,7,0.372,0.302,0.674,2025,0.318,0.136,0.293,76.4,78.3,1.46
김민석,두산,0.228,95,247,228,21,52,7,3,1,68,21,2,3,12,1,2,62,3,0.298,0.269,0.567,2025,0.304,0.07,0.248,45.0,51.6,-0.06
박준영,두산,0.225,41,126,111,9,25,8,0,1,36,10,1,1,10,0,3,32,1,0.324,0.304,0.628,2025,0.304,0.099,0.281,68.0,67.8,0.33
추재현,두산,0.222,34,87,81,7,18,3,1,1,26,7,2,0,3,0,1,17,2,0.321,0.259,0.58,2025,0.27,0.099,0.254,49.2,54.1,0.02
김인태,두산,0.213,106,225,183,17,39,10,1,3,60,25,0,1,36,0,5,57,2,0.328,0.356,0.684,2025,0.29,0.115,0.314,91.1,83.7,1.23
김준상,두산,0.2,9,17,15,1,3,1,0,0,4,0,1,0,0,0,1,8,0,0.267,0.25,0.517,2025,0.429,0.067,0.233,34.5,38.9,-0.03
김대한,두산,0.194,16,37,36,1,7,0,0,1,10,5,0,0,1,0,0,6,0,0.278,0.216,0.494,2025,0.207,0.084,0.216,22.7,31.7,-0.11
이선우,두산,0.182,10,11,11,0,2,1,0,0,3,0,0,0,0,0,0,2,0,0.273,0.182,0.455,2025,0.222,0.091,0.193,6.6,20.7,-0.06
류현준,두산,0.136,17,22,22,2,3,0,0,0,3,1,0,0,0,0,0,6,1,0.136,0.136,0.272,2025,0.188,0.0,0.12,-44.3,-24.4,-0.25
김민혁,두산,0.118,10,21,17,2,2,0,0,1,5,1,0,0,4,0,0,6,0,0.294,0.286,0.58,2025,0.1,0.176,0.27,60.4,55.6,0.03
여동건,두산,0.105,19,21,19,6,2,0,0,0,2,2,0,0,2,0,0,2,1,0.105,0.19,0.295,2025,0.118,0.0,0.15,-23.4,-16.0,-0.18
전다민,두산,0.083,22,12,12,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0.083,0.083,0.166,2025,0.083,0.0,0.073,-77.1,-52.0,-0.18
강현구,두산,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2025,0.0,0.0,0.0,-128.0,-95.2,-0.04
김성재,두산,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2025,0.0,0.0,0.0,-128.0,-95.2,-0.02
박민준,두산,0.0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2025,0.0,0.0,0.0,-128.0,-95.2,-0.04
박성재,두산,0.0,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,2025,0.0,0.0,0.0,-128.0,-95.2,-0.15
장승현,두산,0.0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,2025,0.0,0.0,0.0,-128.0,-95.2,-0.04
천현재,두산,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,2025,0.0,0.0,0.0,-128.0,-95.2,-0.07
주효상,KIA,0.333,8,17,15,1,5,2,0,0,7,1,0,0,2,0,0,4,0,0.467,0.412,0.879,2025,0.455,0.134,0.383,141.9,134.7,0.2
김선빈,KIA,0.321,84,308,271,31,87,18,1,3,116,46,2,1,31,0,3,35,9,0.428,0.395,0.823,2025,0.359,0.107,0.362,127.0,120.5,2.99
김도영,KIA,0.309,30,122,110,20,34,9,0,7,64,27,0,2,10,1,0,23,3,0.582,0.361,0.943,2025,0.329,0.273,0.392,148.3,146.9,1.5
최형우,KIA,0.307,133,549,469,74,144,30,1,24,248,86,0,5,67,8,8,98,9,0.529,0.399,0.928,2025,0.341,0.222,0.393,149.0,145.6,6.81
고종욱,KIA,0.296,46,123,115,13,34,2,0,3,45,16,0,3,5,1,0,17,2,0.391,0.317,0.708,2025,0.316,0.095,0.302,84.3,88.8,0.56
박찬호,KIA,0.287,134,595,516,75,148,18,2,5,185,42,8,6,62,0,3,69,7,0.359,0.363,0.722,2025,0.319,0.072,0.322,98.5,94.7,3.72
김호령,KIA,0.283,105,381,332,46,94,26,3,6,144,39,8,1,34,0,6,94,4,0.434,0.359,0.793,2025,0.378,0.151,0.346,115.6,111.3,3.18
윤도현,KIA,0.275,40,160,149,24,41,7,2,6,70,17,2,0,8,0,1,36,1,0.47,0.316,0.786,2025,0.327,0.195,0.337,109.2,107.2,1.21
박정우,KIA,0.274,53,75,62,17,17,2,0,0,19,4,0,0,10,0,3,12,1,0.306,0.4,0.706,2025,0.34,0.032,0.33,104.2,93.1,0.52
나성범,KIA,0.268,82,310,261,30,70,16,0,10,116,36,0,1,42,1,6,79,6,0.444,0.381,0.825,2025,0.347,0.176,0.361,126.2,120.1,2.98
오선우,KIA,0.265,124,474,437,58,116,17,1,18,189,56,0,0,34,2,3,158,11,0.432,0.323,0.755,2025,0.375,0.167,0.326,101.4,100.2,3.13
김석환,KIA,0.265,47,134,117,14,31,1,2,2,42,16,0,1,14,0,2,55,0,0.359,0.351,0.71,2025,0.475,0.094,0.317,95.0,91.2,0.78
정현창,KIA,0.263,16,21,19,4,5,0,0,0,5,0,0,0,2,0,0,5,0,0.263,0.333,0.596,2025,0.357,0.0,0.275,65.1,63.2,0.05
김태군,KIA,0.258,100,274,236,20,61,10,1,5,88,31,8,3,17,1,10,20,9,0.373,0.331,0.704,2025,0.262,0.115,0.31,90.0,88.6,1.43
한승택,KIA,0.238,15,23,21,3,5,1,0,0,6,0,0,0,1,0,1,7,1,0.286,0.304,0.59,2025,0.357,0.048,0.269,60.8,60.1,0.04
