선수명,팀,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,시즌,BABIP,ISO,wOBA,wRC+,OPS+,bWAR
이주헌,LG,0.667,3,6,6,0,4,2,0,0,6,3,0,0,0,0,0,2,0,1.0,0.667,1.667,2024,,,,,,
김대원,LG,0.5,19,4,4,5,2,0,0,0,2,0,0,0,0,0,0,1,0,0.5,0.5,1.0,2024,,,,,,
홍창기,LG,0.336,139,637,524,96,176,18,3,5,215,73,1,4,96,3,12,93,8,0.41,0.447,0.857,2024,0.398,0.074,0.38,139.3,130.3,7.16
최명경,LG,0.333,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.333,0.333,0.666,2024,,,,,,
오스틴,LG,0.319,140,604,527,99,168,32,3,32,302,132,0,13,61,6,3,82,9,0.573,0.384,0.957,2024,0.319,0.254,0.396,150.7,150.0,7.63
문성주,LG,0.315,96,361,305,47,96,16,2,0,116,48,1,3,49,0,3,38,4,0.38,0.411,0.791,2024,0.356,0.065,0.353,120.1,112.8,3.21
문보경,LG,0.301,144,602,519,80,156,35,3,22,263,101,3,13,65,3,2,112,14,0.507,0.372,0.879,2024,0.337,0.206,0.37,132.2,131.1,6.25
신민재,LG,0.297,128,474,387,78,115,11,6,0,138,40,15,3,64,1,5,47,7,0.357,0.401,0.758,2024,0.335,0.06,0.34,110.9,104.5,3.69
김현수,LG,0.294,137,583,517,61,152,36,2,8,216,69,1,9,47,1,9,76,10,0.418,0.357,0.775,2024,0.326,0.124,0.335,107.3,106.0,4.28
박동원,LG,0.272,130,498,434,58,118,22,0,20,200,80,2,7,55,2,0,112,14,0.461,0.349,0.81,2024,0.317,0.189,0.345,114.4,113.7,4.09
최원영,LG,0.27,57,41,37,18,10,2,0,1,15,5,0,0,1,0,3,7,0,0.405,0.341,0.746,2024,0.31,0.135,0.328,102.4,98.3,0.28
김성진,LG,0.267,14,16,15,1,4,0,0,1,7,2,0,0,1,0,0,4,1,0.467,0.313,0.78,2024,,,,,,
박해민,LG,0.263,144,553,482,72,127,16,6,6,173,56,5,9,46,0,11,101,3,0.359,0.336,0.695,2024,0.315,0.096,0.305,86.0,86.1,2.63
구본혁,LG,0.257,133,389,339,48,87,14,2,2,111,43,4,4,38,0,4,51,7,0.327,0.335,0.662,2024,0.293,0.07,0.296,79.6,78.4,1.54
오지환,LG,0.254,108,428,370,67,94,24,2,10,152,59,2,1,51,0,4,106,8,0.411,0.35,0.761,2024,0.329,0.157,0.332,105.2,102.3,3.03
김범석,LG,0.241,70,180,162,14,39,4,0,6,61,24,0,2,14,2,2,49,4,0.377,0.306,0.683,2024,0.303,0.136,0.293,77.5,81.6,0.67
이영빈,LG,0.222,31,71,63,11,14,2,0,2,22,12,2,2,4,0,0,20,0,0.349,0.261,0.61,2024,0.279,0.127,0.261,54.7,62.0,0.07
김현종,LG,0.2,17,16,15,8,3,1,0,0,4,2,0,0,0,0,1,4,0,0.267,0.25,0.517,2024,,,,,,
안익훈,LG,0.184,37,56,49,8,9,1,0,0,10,3,2,1,4,0,0,13,2,0.204,0.241,0.445,2024,0.243,0.02,0.203,13.4,22.4,-0.23
김주성,LG,0.167,12,9,6,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0.167,0.444,0.611,2024,,,,,,
김정율,LG,0.15,19,22,20,1,3,0,0,0,3,0,0,0,1,0,1,4,1,0.15,0.227,0.377,2024,0.188,0.0,0.183,-0.8,5.7,-0.13
함창건,LG,0.143,15,17,14,3,2,0,0,0,2,0,1,0,2,0,0,3,1,0.143,0.25,0.393,2024,,,,,,
허도환,LG,0.138,59,105,80,10,11,2,0,0,13,11,5,1,9,0,10,26,4,0.163,0.3,0.463,2024,0.2,0.025,0.237,37.6,29.9,-0.12
최승민,LG,0.077,57,16,13,20,1,0,0,0,1,1,1,0,2,0,0,3,0,0.077,0.2,0.277,2024,,,,,,
송찬의,LG,0.067,10,21,15,2,1,0,0,0,1,1,1,1,3,0,1,6,0,0.067,0.25,0.317,2024,0.1,0.0,0.182,-1.5,-7.0,-0.12
김성우,LG,0.0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,2024,,,,,,
김수인,LG,0.0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,2024,,,,,,
백승현,LG,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2024,,,,,,
전준호,LG,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2024,,,,,,
정우영,LG,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2024,,,,,,
박경수,KT,0.667,5,3,3,2,2,1,0,0,3,1,0,0,0,0,0,1,0,1.0,0.667,1.667,2024,,,,,,
김병준,KT,0.357,35,16,14,9,5,0,0,0,5,1,0,0,2,0,0,2,0,0.357,0.438,0.795,2024,,,,,,
김민혁,KT,0.353,115,393,351,47,124,14,3,1,147,34,3,3,35,1,1,45,9,0.419,0.41,0.829,2024,0.399,0.066,0.362,137.0,131.6,3.98
로하스,KT,0.329,144,670,572,108,188,39,1,32,325,112,0,4,88,9,6,115,10,0.568,0.421,0.989,2024,0.364,0.239,0.415,177.8,172.8,9.86
강현우,KT,0.308,18,36,26,4,8,1,0,1,12,8,2,0,8,0,0,10,0,0.462,0.471,0.933,2024,0.467,0.154,0.411,174.7,161.7,0.52
조대현,KT,0.306,26,45,36,2,11,2,0,0,13,3,5,1,3,0,0,12,1,0.361,0.35,0.711,2024,0.44,0.055,0.31,96.9,98.1,0.25
천성호,KT,0.295,75,255,234,41,69,8,3,1,86,17,1,1,18,0,1,43,5,0.368,0.346,0.714,2024,0.356,0.073,0.313,99.2,98.6,1.5
오윤석,KT,0.293,73,201,174,33,51,12,2,6,85,27,3,2,18,0,4,41,7,0.489,0.369,0.858,2024,0.349,0.196,0.366,140.1,136.4,2.11
강백호,KT,0.289,144,614,550,92,159,27,0,26,264,96,0,2,59,4,3,127,6,0.48,0.36,0.84,2024,0.333,0.191,0.358,133.9,131.3,6.0
신본기,KT,0.279,84,152,122,18,34,3,0,3,46,19,9,2,16,0,3,28,3,0.377,0.371,0.748,2024,0.333,0.098,0.331,113.1,108.8,1.13
김상수,KT,0.276,113,420,369,60,102,18,4,4,140,45,7,1,37,0,6,59,12,0.379,0.351,0.73,2024,0.319,0.103,0.322,106.2,103.0,2.8
배정대,KT,0.275,113,473,404,49,111,25,1,7,159,59,8,7,50,1,4,114,5,0.394,0.355,0.749,2024,0.359,0.119,0.326,109.3,108.0,3.32
장성우,KT,0.268,131,489,418,53,112,19,0,19,188,81,2,8,60,1,1,86,8,0.45,0.355,0.805,2024,0.29,0.182,0.345,123.9,122.2,4.23
심우준,KT,0.266,53,192,169,22,45,4,0,3,58,28,5,0,17,0,1,29,3,0.343,0.337,0.68,2024,0.307,0.077,0.303,91.5,89.5,0.96
