선수명,팀,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,시즌,IP_float,FIP,xFIP,ERA+,K/9,BB/9,K/BB,pWAR
박시원,LG,0.0,2,0,0,0,0,-,2.0,0,0,1,1,0,0,0,,0,0,0,0,8,33,0.0,0,0,0,0,0,1,0,2026,2.0,,,,,,,
이우찬,LG,0.0,3,0,0,0,0,-,2.0,3,0,1,0,2,0,0,,0,0,0,0,10,36,0.333,1,0,0,0,0,0,0,2026,2.0,,,,,,,
장현식,LG,1.29,7,1,0,0,5,1.000,7.0,5,1,1,0,4,1,1,0.857,0,0,0,0,26,99,0.2,0,0,0,0,0,0,0,2026,7.0,4.24,4.24,310.1,5.14,1.29,4.0,0.06
웰스,LG,2.12,3,1,1,0,0,0.500,17.0,14,1,4,0,9,4,4,1.059,0,0,2,0,69,257,0.215,4,0,0,0,0,0,0,2026,17.0,3.51,3.51,188.7,4.76,2.12,2.25,0.27
우강훈,LG,2.57,7,0,0,0,4,-,7.0,6,1,2,0,11,2,2,1.143,0,0,0,1,28,111,0.231,1,0,0,0,0,0,0,2026,7.0,2.67,2.67,155.6,14.14,2.57,5.5,0.17
이정용,LG,4.5,5,0,0,0,0,-,6.0,8,0,2,2,3,3,3,1.667,0,0,0,0,31,110,0.308,3,0,0,1,0,0,0,2026,6.0,4.1,4.1,88.9,4.5,3.0,1.5,0.06
임찬규,LG,4.8,3,0,0,0,0,-,15.0,25,0,5,0,6,9,8,2.0,0,0,0,0,72,271,0.379,6,0,0,1,0,1,0,2026,15.0,3.3,3.3,83.3,3.6,3.0,1.2,0.27
톨허스트,LG,4.8,3,2,1,0,0,0.667,15.0,15,2,5,2,16,8,8,1.333,0,0,2,0,67,263,0.25,4,0,0,0,0,0,0,2026,15.0,4.1,4.1,83.3,9.6,3.0,3.2,0.14
함덕주,LG,7.2,6,0,0,0,1,-,5.0,6,1,2,0,0,4,4,1.6,0,0,0,0,22,95,0.3,0,0,0,0,0,0,0,2026,5.0,6.9,6.9,55.6,0.0,3.6,0.0,-0.1
백승현,LG,9.0,3,0,0,0,0,-,3.0,3,1,1,0,6,3,3,,0,0,0,0,13,58,0.25,0,0,0,0,0,2,0,2026,3.0,,,,,,,
